ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?
1,18-24,Male,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Removes,I definitely think,I'm undecided,Becomes,WhatsApp,Game algorithm,Web browser
2,18-24,Female,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I'm undecided,Agree,I have no idea,I'm undecided,Agree,Becomes,WhatsApp,HTML,Web browser
3,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I'm undecided,Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing
4,18-24,Male,Bachelor's degree,Student,engineer,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Agree,I'm undecided,WhatsApp,HTML,Web browser
5,18-24,Male,Ön Bachelor's degree,Student,,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,I do not know,Web browser
6,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,Strongly disagree,Can't handle it,I don't think so,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing
7,18-24,Male,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I'm undecided,Strongly Agree,Can't,WhatsApp,I do not know,Natural language processing
8,18-24,Male,High school,Student,Student,More than 10 hours per day,I have a good level of knowledge,I'm undecided,More beneficial than harmful,1,I would like to,Agree,Definitely Removes,I'm undecided,Agree,Can't,WhatsApp,Linear regression,Web browser
9,Under 18 years old,Male,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Definitely beneficial,3,I'm undecided,I'm undecided,Removes,Definitely I don't think so,Agree,Can't,WhatsApp,HTML,Image processing
10,Under 18 years old,Female,Primary education,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,4,I would like to,I disagree,Removes,I'm undecided,Agree,Can't,I do not know,I do not know,Web browser
11,Under 18 years old,Female,Primary education,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Strongly Agree,Removes,I don't think so,I'm undecided,Becomes,Netflix recommendations,I do not know,Web browser
12,18-24,Male,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",I'm undecided,Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing
13,Under 18 years old,Female,Primary education,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Agree,Removes,Definitely I don't think so,Agree,Becomes,Netflix recommendations,I do not know,Web browser
14,Under 18 years old,Female,Primary education,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Definitely I don't think so,Agree,Becomes,Netflix recommendations,I do not know,Web browser
15,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Removes,I'm undecided,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser
16,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I don't trust it,More beneficial than harmful,4,I would like to,Agree,Definitely Removes,Think,Agree,Becomes,WhatsApp,Linear regression,Natural language processing
17,35-44,Male,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Can't handle it,Think,Agree,Can't,WhatsApp,I do not know,Natural language processing
18,35-44,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,2,"Definitely, I would not like to",I'm undecided,Removes,Definitely I don't think so,Agree,Can't,I do not know,I do not know,I do not know
19,18-24,Male,Ön Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,I'm undecided,I have no idea,Definitely I don't think so,I'm undecided,I'm undecided,I do not know,I do not know,Image processing
20,45 years and older,Male,High school,Employed,Textile,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,More harmful than beneficial,1,I would not like to,Strongly disagree,Definitely Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Excel,I do not know
21,18-24,Male,Bachelor's degree,Student,engineer,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,I disagree,Removes,I don't think so,Agree,Becomes,WhatsApp,Linear regression,Natural language processing
22,18-24,Male,High school,Employed,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Strongly disagree,Removes,I don't think so,Agree,Becomes,WhatsApp,Linear regression,Web browser
23,35-44,Female,Primary education,Unemployed,Housewife ,Between 0 to 2 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,I would not like to,Strongly Agree,Removes,I'm undecided,Agree,I'm undecided,Netflix recommendations,I do not know,Natural language processing
24,35-44,Female,Primary education,Unemployed,Housewife,Between 0 to 2 hours per day,I have no knowledge,I'm undecided,More harmful than beneficial,4,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,I do not know
25,35-44,Female,Primary education,Unemployed,Housewife,Between 0 to 2 hours per day,I have no knowledge,I'm undecided,More harmful than beneficial,4,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,I do not know
26,35-44,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Siri,Game algorithm,Image processing
27,Under 18 years old,Male,High school,Student,,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I'm undecided,I'm undecided,Definitely Becomes,Netflix recommendations,I do not know,Web browser
28,Under 18 years old,Male,Primary education,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,5,I would like to,Agree,I have no idea,Think,Agree,Becomes,Netflix recommendations,I do not know,I do not know
29,35-44,Male,High school,Employed,Sales & Marketing,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,Definitely harmful,1,"Definitely, I would not like to",Strongly disagree,Absolutely Can't handle it,I definitely think,Strongly Agree,It certainly can't be,I do not know,I do not know,I do not know
30,35-44,Female,Primary education,Unemployed,Housewife ,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,Becomes,I do not know,I do not know,I do not know
31,18-24,Female,High school,Employed,Textile,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,More harmful than beneficial,1,I'm undecided,I disagree,I have no idea,I don't think so,I disagree,Can't,Netflix recommendations,I do not know,I do not know
32,Under 18 years old,Female,High school,Student,,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,Definitely Removes,I'm undecided,Agree,Becomes,Netflix recommendations,I do not know,Web browser
33,18-24,Male,Ön Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Definitely Becomes,Netflix recommendations,I do not know,Natural language processing
34,Under 18 years old,Male,High school,Student,,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",Strongly disagree,Can't handle it,Definitely I don't think so,Strongly disagree,Definitely Becomes,WhatsApp,I do not know,Web browser
35,18-24,Male,Ön Bachelor's degree,Student,Student ,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I'm undecided,I disagree,Absolutely Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing
36,18-24,Male,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,Removes,I don't think so,Agree,Can't,WhatsApp,HTML,Web browser
37,18-24,Male,Ön Bachelor's degree,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,I don't think so,Agree,I'm undecided,WhatsApp,I do not know,Web browser
38,35-44,Female,Ön Bachelor's degree,Unemployed,Child development,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,I'm undecided,Removes,I don't think so,Agree,Becomes,WhatsApp,I do not know,Oyun geliþtirme
39,35-44,Male,Primary education,Employed,Textile,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Definitely harmful,2,I would like to,Strongly disagree,Definitely Removes,I don't think so,Strongly Agree,I'm undecided,I do not know,I do not know,I do not know
40,45 years and older,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,5,I would not like to,I disagree,Definitely Removes,Think,Strongly Agree,I'm undecided,Netflix recommendations,I do not know,Image processing
41,35-44,Female,Ön Bachelor's degree,Unemployed,Accounting,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Agree,Can't,WhatsApp,Game algorithm,Image processing
42,35-44,Male,High school,Employed,Office Driver,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Definitely harmful,1,I'm undecided,I'm undecided,Definitely Removes,I don't think so,I'm undecided,It certainly can't be,WhatsApp,Game algorithm,Image processing
43,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,I definitely think,Agree,Becomes,WhatsApp,HTML,Natural language processing
44,35-44,Female,Bachelor's degree,Unemployed,Teacher ,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would not like to,Agree,Removes,I definitely think,Strongly Agree,I'm undecided,WhatsApp,I do not know,Natural language processing
45,18-24,Male,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,5,I'm undecided,Strongly Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing
46,25-34,Male,Ön Bachelor's degree,Employed,Merchandising,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,2,I would like to,I disagree,Definitely Removes,Think,I'm undecided,Can't,WhatsApp,Linear regression,Web browser
47,18-24,Female,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,4,I would like to,I disagree,Removes,I don't think so,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
48,18-24,Male,Bachelor's degree,Student,,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it at all,Definitely harmful,3,I'm undecided,Agree,I have no idea,I'm undecided,Agree,Definitely Becomes,WhatsApp,Game algorithm,I do not know
49,35-44,Female,Bachelor's degree,Employed,,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,4,I would like to,I disagree,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing
50,18-24,Male,Bachelor's degree,Employed,Real estate agent,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,More harmful than beneficial,4,I would like to,Strongly Agree,Definitely Removes,I don't think so,Agree,Becomes,I do not know,HTML,Natural language processing
51,18-24,Female,Ön Bachelor's degree,Student,,More than 10 hours per day,I have no knowledge,I don't trust it at all,More harmful than beneficial,1,I'm undecided,I disagree,I have no idea,I'm undecided,I'm undecided,Becomes,WhatsApp,I do not know,Image processing
52,18-24,Male,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,3,I would like to,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,Excel,Natural language processing
53,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing
54,18-24,Male,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Agree,Can't,WhatsApp,Linear regression,Natural language processing
55,18-24,Male,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,5,I would like to,I'm undecided,Definitely Removes,Think,Agree,Can't,WhatsApp,Linear regression,Natural language processing
56,18-24,Male,High school,Student,,More than 10 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I would like to,I'm undecided,Removes,Think,I'm undecided,Can't,WhatsApp,Linear regression,Natural language processing
57,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",I'm undecided,Definitely Removes,Think,Agree,I'm undecided,Netflix recommendations,Linear regression,Web browser
58,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,I would like to,Strongly disagree,Definitely Removes,I definitely think,Agree,It certainly can't be,WhatsApp,Linear regression,Web browser
59,18-24,Male,Bachelor's degree,Student,engineer,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I disagree,Removes,Think,Agree,Can't,WhatsApp,I do not know,Natural language processing
60,18-24,Male,Bachelor's degree,Student,Student ,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,1,I would like to,Agree,Definitely Removes,Think,Strongly Agree,Can't,Netflix recommendations,Game algorithm,Natural language processing
61,18-24,Male,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I don't trust it at all,More beneficial than harmful,4,I would like to,Agree,I have no idea,Definitely I don't think so,I'm undecided,It certainly can't be,Netflix recommendations,Game algorithm,Natural language processing
62,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,5,I would like to,Agree,Definitely Removes,I'm undecided,Strongly Agree,Becomes,I do not know,Excel,I do not know
63,18-24,Female,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,Becomes,WhatsApp,I do not know,Web browser
64,18-24,Female,Bachelor's degree,Student,Student ,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,I'm undecided,Definitely Removes,I don't think so,I'm undecided,Becomes,WhatsApp,I do not know,Web browser
65,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser
66,18-24,Female,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,I have no idea,I don't think so,Agree,Can't,WhatsApp,HTML,Web browser
67,18-24,Female,Bachelor's degree,Student,Intern,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,5,"Definitely, I would like to",I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser
68,18-24,Female,Bachelor's degree,Student,,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,Web browser
69,18-24,Female,Bachelor's degree,Student,,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,I'm undecided,Definitely Removes,Think,Agree,I'm undecided,WhatsApp,HTML,Image processing
70,18-24,Female,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have an expert-level knowledge,I trust it,Definitely harmful,3,"Definitely, I would not like to",Strongly disagree,Definitely Removes,Think,I disagree,Can't,I do not know,Linear regression,Natural language processing
71,18-24,Female,High school,Student,,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Can't handle it,Think,Strongly Agree,Can't,WhatsApp,HTML,Web browser
72,18-24,Female,Bachelor's degree,Student,,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,5,"Definitely, I would like to",I disagree,Removes,I don't think so,I disagree,Becomes,WhatsApp,Linear regression,Natural language processing
73,45 years and older,Female,Bachelor's degree,Employed,Teacher ,More than 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser
74,45 years and older,Male,Master's degree or higher,Employed,Teacher ,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser
75,45 years and older,Male,Bachelor's degree,Employed,Teacher ,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know
76,45 years and older,Male,Bachelor's degree,Employed,Teacher,I never use it,I have basic knowledge,I trust it,Both beneficial and harmful,1,"Definitely, I would not like to",Strongly Agree,Removes,I don't think so,Agree,Can't,I do not know,I do not know,Image processing
77,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Definitely Removes,Definitely I don't think so,Strongly Agree,Can't,WhatsApp,I do not know,Web browser
